fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2024-12-31,USD,533898000000,147080000000,17482000000,71555000000,909000000,48188000000,391718000000,166902000000,82820000000,144576000000,25385000000,119191000000,70564000000,15581000000,54073000000,26428000000,36943000000,231203000000,108882000000,22608000000,96090000000,5248000000,0,122321000000,17254000000,44970000000,5248000000,39722000000,44970000000,20286000000,35906000000,302695000000,None,203482000000,None,7435000000
2024-09-30,USD,523013000000,149926000000,20840000000,78428000000,1626000000,44148000000,377887000000,152863000000,80517000000,146125000000,26751000000,119374000000,75379000000,15778000000,57588000000,25724000000,37793000000,235290000000,115200000000,22768000000,111378000000,2249000000,0,120090000000,16361000000,45117000000,2249000000,42868000000,45117000000,19114000000,31165000000,287723000000,None,188929000000,102976000000,7436000000
2024-03-31,USD,484275000000,147180000000,19634000000,80021000000,1304000000,44029000000,341895000000,121375000000,74945000000,147991000000,28828000000,119163000000,69791000000,14807000000,60387000000,21826000000,35551000000,231123000000,118525000000,18087000000,89666000000,22749000000,20500000000,112598000000,14469000000,44907000000,2249000000,42658000000,65407000000,18023000000,23271000000,253152000000,None,159394000000,99193000000,7433000000
2023-12-31,USD,470558000000,147393000000,17305000000,81017000000,1615000000,42831000000,327965000000,112308000000,72949000000,148827000000,29896000000,118931000000,71482000000,13367000000,63712000000,21930000000,32265000000,232290000000,121016000000,17695000000,92068000000,29291000000,27041000000,111274000000,14155000000,47178000000,2250000000,44928000000,74219000000,16362000000,20787000000,238268000000,None,145737000000,97480000000,7432000000
2023-09-30,USD,445785000000,207586000000,80452000000,143951000000,3000000000,36953000000,242699000000,102502000000,69486000000,76685000000,8895000000,67790000000,68750000000,11423000000,63499000000,23682000000,32154000000,225071000000,124792000000,19307000000,98376000000,29556000000,25808000000,100279000000,13487000000,45694000000,3748000000,41946000000,71502000000,14475000000,18634000000,220714000000,None,132143000000,95508000000,7431000000
2023-06-30,USD,411976000000,184257000000,34704000000,111262000000,2500000000,48688000000,232219000000,95641000000,68251000000,77252000000,9366000000,67886000000,95599000000,9879000000,76558000000,21807000000,30601000000,205753000000,104149000000,18095000000,107626000000,5247000000,0,101604000000,12728000000,47237000000,5247000000,41990000000,47237000000,14745000000,17981000000,206223000000,None,118848000000,93718000000,7432000000
2023-03-31,USD,380088000000,163889000000,26562000000,104427000000,2877000000,38137000000,220499000000,88132000000,65998000000,77819000000,9879000000,67940000000,95186000000,9415000000,77865000000,19165000000,26954000000,185405000000,85691000000,15305000000,79202000000,6245000000,6245000000,99714000000,12312000000,48210000000,6245000000,41965000000,48210000000,12664000000,17437000000,194683000000,None,108234000000,92093000000,7437000000
2022-12-31,USD,364552000000,157823000000,15646000000,99508000000,2980000000,36378000000,210929000000,82755000000,63459000000,78259000000,10354000000,67905000000,91155000000,7097000000,83862000000,19502000000,24994000000,181416000000,81718000000,15354000000,79252000000,3997000000,3997000000,99698000000,11998000000,48116000000,3997000000,44119000000,48116000000,12802000000,16479000000,183136000000,None,99368000000,90225000000,7447000000
2022-09-30,USD,359784000000,160812000000,22884000000,107262000000,4268000000,32015000000,202772000000,77037000000,60638000000,78267000000,10808000000,67459000000,99146000000,6839000000,84378000000,18003000000,23482000000,186218000000,87389000000,16609000000,87778000000,3248000000,3248000000,98829000000,11660000000,48622000000,3248000000,45374000000,48622000000,12058000000,15311000000,173566000000,None,92374000000,88535000000,7457000000
2022-06-30,USD,364840000000,169684000000,13931000000,104757000000,3742000000,45261000000,198956000000,74398000000,59660000000,78822000000,11298000000,67524000000,95583000000,6891000000,90826000000,16924000000,21897000000,198298000000,95082000000,19000000000,96816000000,2749000000,6037000000,103216000000,11489000000,49781000000,2749000000,47032000000,49781000000,13067000000,15526000000,166542000000,None,84281000000,86939000000,7464000000
